0: 27,45
3: 38,7
4: 32,36
5: 31,46
6: 54
7: 3
8: 
9: 49
10: 43
11: 49
12: 17
13: 62
14: 51
15: 22,42,62
16: 60
17: 51,12,57
18: 37,63
19: 64
20: 26
21: 34
22: 15,25
23: 52
24: 44
25: 53,45,22,42
26: 20,57
27: 0,54,45
28: 44
29: 58,43
30: 51
31: 5,40,63
32: 4,48
33: 46
34: 21
35: 
36: 59,57,4
37: 18
38: 3
39: 46
40: 31,55
41: 62
42: 15,25
43: 10,29
44: 24,28
45: 0,27,25
46: 5,39,33
47: 
48: 32
49: 11,9
50: 
51: 14,30,17
52: 23,60
53: 25
54: 27,6
55: 40
56: 
57: 26,59,17,36
58: 29
59: 36,57
60: 16,52
61: 
62: 15,13,41
63: 31,18
64: 19
